,Brand,Cooling_Capacity,Star_Rating,Annual_power_usage,Room_Size,Warranty,Price,Ratings,no_of_rating,Reviews
360,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
361,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
362,Haier,1.5 Ton,3 Star,925.24,111 - 150,1,"38,300",,,
363,Voltas,2 Ton,3 Star,1122.45,151 - 200,1,"45,900",4,37,
364,Hitachi,1.5 Ton,3 Star,1012.62,111 - 150,1,"38,989",,,
365,Voltas,2 Ton,3 Star,1217.79,151 - 200,1,"53,879",3.8,,
366,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
367,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
368,White,1 Ton,3 Star,756.82,90,,"32,190",,,
369,Daikin,1.5 Ton,3 Star,966.47,111 - 150,1,"38,390",,,
370,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
371,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
372,Midea,1 Ton,3 Star,736.57,90,,"55,999",4.4,26,
373,Voltas,1.5 Ton,,,111 - 150,,"35,910",3.7,,
374,SAMSUNG,1.5 Ton,5 Star,806.28,111 - 150,1,"58,990",4.3,352,36
375,Godrej,1.5 Ton,3 Star,1123.23,111 - 150,1,"31,999",3.7,24,
376,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
377,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
378,Haier,1.5 Ton,5 Star,880.3,111 - 150,1,"44,999",4.1,40,
379,Daikin,1.8 Ton,4 Star,1161.78,151 - 200,1,"51,409",4,,
380,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
381,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
382,Voltas,1 Ton,3 Star,672.93,90,,"31,490",,,
383,Blue,1 Ton,5 Star,536.27,90,,"38,989",,,
384,Hitachi,1.5 Ton,3 Star,1024.34,111 - 150,1,"39,999",3.9,63,
385,SAMSUNG,1.5 Ton,3 Star,1044.19,111 - 150,1,"37,746",4.4,94,
386,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
387,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
